,Neighborhood Name,Area,Average Household Size,Female Population,Male Population,Median Age Among Men,Median Age Among Women,Median Income,Median Rent,Percentage of Family Households,Percentage of Married Families,Percentage of Married Families with Children,Percentage of Never-Married Men,Percentage of Never-Married Women,Percentage of People Who Speak English Poorly or Not at All,Percentage of Single Mother Families,Population,Population Density,Residents Born Foreign,Residents Born as U.S. Citizens Outside the U.S.,Residents Born in Texas,Residents Born in the U.S.,Address,Coordinates,Latitude,Longitude,Park,Mexican Restaurant,Convenience Store,Sandwich Place,Discount Store,Playground,Video Store,Fast Food Restaurant,Gym,Pool,Hotel,Music Venue,Grocery Store,Mobile Phone Shop,Arcade,Bar,American Restaurant,BBQ Joint,Ice Cream Shop,Chinese Restaurant,Art Gallery,Dog Run,Pharmacy,Gas Station,Business Service,Food Truck,Burger Joint,Construction & Landscaping,Food & Drink Shop,Athletics & Sports,Coffee Shop,Pizza Place,Shipping Store,Pawn Shop,Steakhouse,Flea Market,Fried Chicken Joint,Jewelry Store,Gym / Fitness Center,Restaurant,Golf Course,Pet Store,Café,Furniture / Home Store,Lake,Camera Store,Dive Bar,Casino,Thrift / Vintage Store,Pub
0,Alamo Heights,0.503,1.6,232,242,33.3,31.1,80729,1516,17.9,18.9,29.6,23.4,23.0,0.0,35.1,475,945,20.0,2.2,48.1,29.7,"Alamo Heights, Fort Worth, TX","(None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Arlington Heights,2.031,4.8,5589,4815,39.8,35.7,86764,887,38.6,38.3,38.7,16.8,18.8,0.8,12.0,10405,5124,4.6,1.3,65.3,28.9,"Arlington Heights, Fort Worth, TX","(32.7265197, -97.3919628)",32.7265197,-97.3919628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Arlington Heights Sector,11.136,3.1,17089,15559,38.4,37.4,69104,849,35.2,32.9,32.7,17.9,19.1,2.7,21.0,32648,2932,9.6,1.6,64.5,24.4,"Arlington Heights Sector, Fort Worth, TX","(None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Belmont Terrace,0.202,7.5,320,379,28.5,30.7,38563,578,60.1,45.7,17.4,24.7,16.5,28.7,45.5,699,3461,35.8,1.6,54.3,8.3,"Belmont Terrace, Fort Worth, TX","(32.7811685, -97.36639)",32.7811685,-97.36639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Benbrook,12.514,3.9,11443,11050,40.1,44.7,63316,841,48.9,54.2,31.4,13.3,9.9,2.3,9.3,22494,1797,4.7,1.7,63.9,29.7,"Benbrook, Fort Worth, TX","(32.7129739, -97.4445299)",32.7129739,-97.4445299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Benbrook North,1.855,2.4,808,815,42.3,46.6,59511,592,38.7,56.3,39.6,7.2,5.8,3.2,49.3,1623,875,5.3,1.8,64.9,28.0,"Benbrook North, Fort Worth, TX","(32.7129739, -97.4445299)",32.7129739,-97.4445299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bentley Village,1.934,2.5,1048,898,32.7,36.8,71314,800,46.9,30.4,18.7,17.7,24.4,4.2,22.5,1947,1006,14.2,1.8,54.6,29.5,"Bentley Village, Fort Worth, TX","(32.765323, -97.162629)",32.765323,-97.162629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Berkeley Place,0.987,9.4,1723,1622,37.1,37.2,81643,916,29.6,35.1,38.8,29.1,28.8,1.6,9.4,3345,3388,8.1,1.3,54.2,36.4,"Berkeley Place, Fort Worth, TX","(32.7247341, -97.349468)",32.7247341,-97.349468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bluebonnet Hills,4.324,5.0,10880,11931,32.3,32.3,71619,903,45.5,46.4,31.7,24.4,14.4,4.7,9.7,22811,5276,15.2,1.0,58.2,25.6,"Bluebonnet Hills, Fort Worth, TX","(None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bluebonnet Place,0.100,2.5,271,258,45.2,43.2,131179,1266,52.0,70.1,38.9,10.3,6.6,1.6,3.5,530,5285,11.1,1.7,52.1,35.0,"Bluebonnet Place, Fort Worth, TX","(32.8697968, -97.2773855957135)",32.8697968,-97.2773855957135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
